20221206	15:16:01	c92634f4-4eb7-4e99-a875-856789ce31ae	POST	undefined	/employees
20221206	15:17:30	b6cab3f4-2884-4239-b0c4-98fc75f09cdf	POST	undefined	/auth
20221206	15:17:39	2a4ad41c-9192-4116-89cb-51135cde0c23	POST	undefined	/employees
20221206	15:18:07	e890ab42-dfeb-46b6-bc63-7383ea9758f3	POST	undefined	/auth
20221206	15:18:20	6835b42b-263c-45e7-ae32-8014138cee3a	POST	undefined	/employees
20221206	15:22:29	73df0644-6654-4b0d-8a07-b0e08d02411e	POST	undefined	/auth
20221206	15:22:36	dfa4795b-12f4-4b9e-9eca-4cb8a69d2079	POST	undefined	/employees
20221206	15:22:59	5988ae61-30f0-406d-8bef-a484f1eea24b	DELETE	undefined	/employees
20221206	15:23:10	6e630fef-5164-4fc3-bdc9-7d384f136365	POST	undefined	/auth
20221206	15:23:19	81e3d25a-4f65-4c10-a4a8-0c24307fd256	DELETE	undefined	/employees
20221206	15:30:36	8c31bc15-8da0-4335-832f-eec471ec7381	POST	undefined	/auth
20221206	15:30:44	2cecd00d-ff8e-44a2-a153-8929e84f2245	DELETE	undefined	/employees
20221206	15:31:36	999ade8e-7a1b-4e50-ad71-7fd6ca8574ef	POST	undefined	/auth
20221206	15:31:43	f936e6ae-9bc9-435a-a0fb-2f9c96828eeb	POST	undefined	/employees
20221206	15:31:50	7a004c90-b336-4dc7-b2ab-f5d4bc98464a	DELETE	undefined	/employees
